Music_Name,Valence,Arousal,mfcc_dct0_mean,mfcc_dct0_std,mfcc_dct1_mean,mfcc_dct1_std,mfcc_dct2_mean,mfcc_dct2_std,mfcc_dct3_mean,mfcc_dct3_std,mfcc_dct4_mean,mfcc_dct4_std,mfcc_dct5_mean,mfcc_dct5_std,mfcc_dct6_mean,mfcc_dct6_std,mfcc_dct7_mean,mfcc_dct7_std,mfcc_dct8_mean,mfcc_dct8_std,mfcc_dct9_mean,mfcc_dct9_std,mfcc_dct10_mean,mfcc_dct10_std,mfcc_dct11_mean,mfcc_dct11_std,mfcc_dct12_mean,mfcc_dct12_std,chroma_stft_chord0_mean,chroma_stft_chord0_std,chroma_stft_chord1_mean,chroma_stft_chord1_std,chroma_stft_chord2_mean,chroma_stft_chord2_std,chroma_stft_chord3_mean,chroma_stft_chord3_std,chroma_stft_chord4_mean,chroma_stft_chord4_std,chroma_stft_chord5_mean,chroma_stft_chord5_std,chroma_stft_chord6_mean,chroma_stft_chord6_std,chroma_stft_chord7_mean,chroma_stft_chord7_std,chroma_stft_chord8_mean,chroma_stft_chord8_std,chroma_stft_chord9_mean,chroma_stft_chord9_std,chroma_stft_chord10_mean,chroma_stft_chord10_std,chroma_stft_chord11_mean,chroma_stft_chord11_std,spectral_contrast_frequency0_mean,spectral_contrast_frequency0_std,spectral_contrast_frequency1_mean,spectral_contrast_frequency1_std,spectral_contrast_frequency2_mean,spectral_contrast_frequency2_std,spectral_contrast_frequency3_mean,spectral_contrast_frequency3_std,spectral_contrast_frequency4_mean,spectral_contrast_frequency4_std,spectral_contrast_frequency5_mean,spectral_contrast_frequency5_std,spectral_contrast_frequency6_mean,spectral_contrast_frequency6_std,zero_crossing_rate_frame0_mean,zero_crossing_rate_frame0_std,tempo_mean,tempo_std
2,3.1,3.0,-200.25985717773438,171.77261352539062,-32.70804977416992,36.403446197509766,0.23614436388015747,17.68310546875,1.3651528358459473,9.277338027954102,1.370861530303955,-3.264254331588745,6.4854536056518555,1.0802172422409058,-1.0313373804092407,43.56900405883789,24.751707077026367,17.363872528076172,16.6486873626709,15.785985946655273,12.707365036010742,9.837285041809082,8.524507522583008,10.161258697509766,9.629706382751465,7.445686340332031,9.02210807800293,8.612218856811523,0.4079612195491791,0.33827805519104004,0.3096141517162323,0.37941792607307434,0.5532698035240173,0.5770915150642395,0.46106913685798645,0.4792178273200989,0.5920278429985046,0.6909157037734985,0.55520099401474,0.44944652915000916,0.24093252420425415,0.19352392852306366,0.2228408008813858,0.248752161860466,0.2986758351325989,0.29596108198165894,0.2463466078042984,0.2438880354166031,0.2886159420013428,0.3297884464263916,0.2735127806663513,0.2441108226776123,15.319349715923863,12.058673349312702,15.34175205685521,16.460403810195363,18.495771475464363,21.533244189133093,53.14536558970695,4.847082078771542,3.8818178467275777,4.000500531554075,3.519131676292772,3.247541117120902,4.424705159899225,3.4723149457336113,0.03652223000386399,0.016047827756253817,139.6748310810811,0.0
3,3.5,3.3,-285.9261779785156,159.132568359375,7.611664772033691,33.75762939453125,25.207740783691406,20.010066986083984,18.24714469909668,21.90053367614746,11.854752540588379,10.960749626159668,9.535205841064453,7.900679111480713,2.0727553367614746,47.6834602355957,20.889404296875,15.728108406066895,15.27623462677002,14.292616844177246,10.694623947143555,10.106062889099121,8.256759643554688,7.573069095611572,7.992524147033691,6.419621467590332,6.59063196182251,6.039693355560303,0.666715681552887,0.6145126819610596,0.6173378229141235,0.6764646172523499,0.7511032819747925,0.7174111604690552,0.6491421461105347,0.6410409808158875,0.6572492122650146,0.673870861530304,0.6352103352546692,0.671109676361084,0.25877463817596436,0.23820285499095917,0.22179342806339264,0.21476775407791138,0.22206763923168182,0.22339685261249542,0.22173474729061127,0.22170642018318176,0.23529164493083954,0.25724726915359497,0.20887801051139832,0.22220933437347412,18.02624781489453,12.80690706033409,15.231423851245577,18.998006925837945,18.45096171252755,22.11863880353224,51.938811246742226,5.346095802701854,3.848837150257695,3.738616368459048,4.113582988195518,3.3652152004443816,4.806642890805907,4.058197962108161,0.013481547273781903,0.010931006345571634,95.703125,0.0
4,5.7,5.5,-163.7238006591797,166.30010986328125,-29.48248291015625,36.67627716064453,10.505773544311523,39.91468811035156,-2.767268657684326,7.6714396476745605,-2.1851587295532227,2.389242172241211,-0.6678769588470459,0.5831799507141113,0.22879543900489807,57.600311279296875,30.67819595336914,17.37129020690918,15.868756294250488,16.81536293029785,12.440325736999512,11.634998321533203,12.043359756469727,11.539589881896973,10.72330093383789,8.738248825073242,7.584017753601074,6.48477029800415,0.4336588978767395,0.36215856671333313,0.35557541251182556,0.37352943420410156,0.5594001412391663,0.40814170241355896,0.3146032392978668,0.4244126081466675,0.5404635667800903,0.7756401300430298,0.5752080678939819,0.486815869808197,0.2824942171573639,0.24073946475982666,0.26049548387527466,0.23166820406913757,0.2992236316204071,0.23453250527381897,0.2121712565422058,0.2734488546848297,0.2512448728084564,0.30257755517959595,0.23851975798606873,0.2598268389701843,15.239441861172743,11.544980611796086,17.18798698727518,18.498623057454587,19.228979449887202,19.75965699608789,53.38074790233291,5.733006385336565,3.731749134867319,4.513602679585847,4.2406011535818955,3.520965727112599,3.7434387077329614,3.6284814912760934,0.03738668451114978,0.0218710598993203,84.72079918032787,0.0
5,4.4,5.3,-190.3411407470703,162.43484497070312,-10.739487648010254,38.936256408691406,-6.951974868774414,10.322242736816406,-25.887855529785156,6.7547607421875,-14.676445960998535,-6.158039569854736,-7.2519073486328125,-13.481308937072754,-1.85504150390625,55.8250732421875,24.78939437866211,18.10371971130371,17.463415145874023,16.428462982177734,11.597331047058105,17.831899642944336,12.733525276184082,10.836846351623535,8.349573135375977,9.699681282043457,10.12171745300293,9.503218650817871,0.41250160336494446,0.4094882011413574,0.38978809118270874,0.4700131416320801,0.39024651050567627,0.3607461154460907,0.4671095907688141,0.2678123712539673,0.22627615928649902,0.22251468896865845,0.41472122073173523,0.5518434047698975,0.24478434026241302,0.3212520480155945,0.26834622025489807,0.3391084671020508,0.29649800062179565,0.22956028580665588,0.3267177939414978,0.20170918107032776,0.24676135182380676,0.21326345205307007,0.29799142479896545,0.35786429047584534,24.561845745862023,11.624466991371431,18.047395494903164,21.49397016185123,20.12448127296398,23.263131004657378,54.61559739325797,4.775715707749514,3.7154090541627833,3.7638422243770675,4.126777881036065,3.5545392243988934,4.590184729875296,3.211686185143987,0.03625617306328951,0.025029154580271436,123.046875,0.0
7,5.8,6.4,-208.9111328125,156.98831176757812,-2.4805009365081787,62.61076736450195,13.259298324584961,27.919954299926758,20.39733123779297,12.311553955078125,10.173452377319336,2.5165517330169678,0.8948442935943604,-1.2964184284210205,3.1762290000915527,55.180912017822266,21.080951690673828,21.24074935913086,15.657858848571777,13.382233619689941,7.63631010055542,10.029457092285156,8.220903396606445,10.322137832641602,7.090723514556885,7.530489921569824,6.5789995193481445,6.020153045654297,0.5248326659202576,0.4885585904121399,0.5409262180328369,0.5830386281013489,0.6179506778717041,0.5924047231674194,0.5401204824447632,0.5394911170005798,0.5350967049598694,0.5328437685966492,0.555458664894104,0.5887084007263184,0.2821764647960663,0.2100985199213028,0.25670263171195984,0.2697441577911377,0.32108214497566223,0.31764480471611023,0.24343685805797577,0.25339779257774353,0.29334667325019836,0.27782613039016724,0.2366250455379486,0.2977656424045563,19.63576506232189,11.272384068099877,16.439650889540186,15.1089598746441,14.517293871168407,14.968155620241335,54.70739810219538,6.104968128015513,3.8910964998103954,4.707337178207565,3.6455452583401686,2.8951369551470663,2.2702938681193237,3.0605397318081162,0.012908133693972179,0.012934435225333144,120.18531976744185,0.0
8,3.2,4.8,-329.0555114746094,141.7211456298828,70.06732940673828,59.842559814453125,8.510101318359375,20.745311737060547,6.610231399536133,9.319465637207031,-2.4447250366210938,4.990633010864258,-2.0473484992980957,2.9051060676574707,1.6040395498275757,92.55075073242188,40.670806884765625,37.93238830566406,23.73697280883789,19.39765167236328,17.69586181640625,16.050006866455078,12.437213897705078,10.20513916015625,8.171810150146484,8.143333435058594,7.301202297210693,6.350149631500244,0.5299867391586304,0.4672994911670685,0.5052520036697388,0.5929232835769653,0.7207571864128113,0.6240158081054688,0.40267670154571533,0.39102569222450256,0.40218958258628845,0.45163923501968384,0.5384646058082581,0.5790334939956665,0.345161110162735,0.3173190951347351,0.31394141912460327,0.23215533792972565,0.30583953857421875,0.25613686442375183,0.23576290905475616,0.2776004672050476,0.2424086034297943,0.28728336095809937,0.32318851351737976,0.3284642696380615,16.692130918095053,13.039198123928255,17.11187399968248,19.29350013003577,16.380511423914083,16.43738950452846,50.7857565072604,5.336082725515459,4.065999099905455,4.669749793135936,5.383065090473453,3.778492048390555,2.7442152014693275,6.783473521041418,0.023845029945904175,0.03304801138485865,82.03125,0.0
10,4.0,4.7,-307.8241271972656,154.63230895996094,13.867061614990234,18.28266716003418,10.5670166015625,24.911291122436523,-4.423306465148926,5.530128002166748,5.469245433807373,7.6587443351745605,0.7956722974777222,-1.1231968402862549,-0.975493848323822,74.03132629394531,39.456275939941406,34.56480026245117,28.87056541442871,23.01618766784668,13.64078140258789,12.122859001159668,12.871285438537598,10.939535140991211,10.075215339660645,9.332442283630371,11.22527027130127,11.115442276000977,0.3548645079135895,0.3578643798828125,0.3917705714702606,0.3189835846424103,0.3424810767173767,0.2750299572944641,0.29361826181411743,0.29848751425743103,0.29055213928222656,0.4229891300201416,0.33662471175193787,0.29591140151023865,0.36246341466903687,0.33489713072776794,0.35620370507240295,0.29718637466430664,0.3231229782104492,0.2713947296142578,0.31385406851768494,0.306199848651886,0.26466649770736694,0.38756874203681946,0.3193495273590088,0.28549787402153015,15.676782355166841,12.726348494806569,19.129772016623097,22.40116045512768,22.46642917651072,20.872367188514747,51.05532842338959,5.727690953667952,4.830357712647094,5.477545664618233,5.833224249405753,5.772481966816983,5.760847230960296,6.0889912789365015,0.04161069418952859,0.026925678544332362,93.96306818181819,0.0
12,5.5,5.8,-150.44406127929688,142.37648010253906,-6.482496738433838,58.198890686035156,-2.8350298404693604,28.380800247192383,-5.764108657836914,7.714588165283203,-4.244049549102783,4.619186878204346,-5.1990647315979,-1.778504729270935,-3.3930981159210205,86.14395141601562,38.60149383544922,31.184614181518555,20.164941787719727,18.94235610961914,17.200281143188477,13.05097770690918,13.536545753479004,10.912630081176758,10.994087219238281,8.623372077941895,8.490829467773438,6.633247375488281,0.5984129309654236,0.5227804780006409,0.5150719881057739,0.5107517242431641,0.480395644903183,0.5228959321975708,0.47664788365364075,0.4683338403701782,0.40685486793518066,0.4190950095653534,0.447613000869751,0.504718005657196,0.3467481732368469,0.2526701092720032,0.28242227435112,0.33062872290611267,0.2728263735771179,0.3199319839477539,0.23754805326461792,0.3062255382537842,0.2596701681613922,0.2614613473415375,0.26886746287345886,0.2601313889026642,19.236236224152506,12.143884651318858,14.542694759183997,15.179623953283123,14.739922724795287,17.05990802941607,55.26274717386388,6.016532109571809,4.5071782934810525,4.254725840939712,4.219230740431963,2.8492930152866354,3.2647142376734877,4.399405803896612,0.04642470456594539,0.047351813385207844,93.96306818181819,0.0
13,3.2,4.0,-236.67984008789062,150.42674255371094,-1.846254587173462,43.587825775146484,7.412301540374756,19.748889923095703,-12.661766052246094,17.678390502929688,-6.406641483306885,1.1661913394927979,-4.725157737731934,-3.9527060985565186,-4.434878349304199,65.71923065185547,27.309234619140625,21.22243309020996,22.348176956176758,15.91169548034668,12.902278900146484,19.321855545043945,12.3391695022583,13.019552230834961,9.115273475646973,9.317188262939453,10.223594665527344,9.950050354003906,0.5929401516914368,0.47759318351745605,0.46515706181526184,0.43692466616630554,0.3269096612930298,0.3490217328071594,0.31006094813346863,0.3702514171600342,0.34850773215293884,0.35926294326782227,0.4480479955673218,0.5060757994651794,0.3695678114891052,0.2579687535762787,0.2658231258392334,0.3319266140460968,0.2597363591194153,0.3592846393585205,0.23552070558071136,0.27224382758140564,0.2862463593482971,0.31859534978866577,0.3218788206577301,0.32361727952957153,24.397617555137565,13.026311165439845,19.33642213677969,21.27445596984512,19.57509871005258,23.63719775104842,55.308405908356015,4.911323247072912,4.085160131275092,4.290147850149659,4.378914339882565,3.7002181584556517,4.6022399893587815,3.51452279850136,0.031152645624034005,0.028486993069004485,87.5926906779661,0.0
17,4.4,6.0,-139.4177703857422,159.5939178466797,-30.774438858032227,48.519996643066406,0.11689116060733795,17.86843490600586,-0.2036140412092209,14.2357816696167,-1.2274625301361084,5.82128381729126,-6.479753494262695,-4.115600109100342,-4.398263454437256,64.51261138916016,30.2181396484375,23.511184692382812,15.552197456359863,15.851362228393555,12.922683715820312,13.977574348449707,12.94591999053955,11.122478485107422,9.332317352294922,8.568854331970215,8.475735664367676,8.346890449523926,0.4334239959716797,0.43316686153411865,0.47530481219291687,0.3936628997325897,0.3759951889514923,0.44663000106811523,0.4935223460197449,0.5957345962524414,0.5093003511428833,0.48122724890708923,0.4667169451713562,0.41608136892318726,0.3120952844619751,0.2774222493171692,0.3141050934791565,0.24458155035972595,0.23720774054527283,0.28049129247665405,0.28105324506759644,0.3568679094314575,0.321634441614151,0.29323798418045044,0.3006740212440491,0.24308843910694122,15.818183418743867,12.995224663882128,16.75907519861554,18.153090184662215,16.998445932948503,18.79048847027692,54.29820011460209,6.109540352172306,4.071608711174937,4.457806090789108,4.290337391536509,3.7415647638443734,3.9365868027842903,3.707013897141117,0.039394938779945904,0.024383616568093708,107.666015625,0.0
